work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
"WS/MP777/2024-2025/136654-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998123.0,True,Images
"WS/MP777/2024-2025/136652-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998078.0,True,Images
"WS/MP777/2024-2025/136651-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,797062.0,True,Images
"WS/MP777/2024-2025/136657-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998346.0,True,Images
"WS/MP777/2024-2025/136658-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,996693.0,True,Images
"WS/MP777/2024-2025/136690-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998016.0,True,Images
"WS/MP777/2024-2025/136689-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,996582.0,True,Images
"WS/MP777/2024-2025/136687-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998358.0,True,Images
"WS/MP777/2024-2025/136695-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998154.0,True,Images
"WS/MP777/2024-2025/136694-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,998067.0,True,Images
"WS/MP777/2024-2025/136693-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,997341.0,True,Images
"WS/MP777/2024-2025/136692-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,996363.0,True,Images
"WS/MP777/2024-2025/136691-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,533454.0,True,Images
"WS/MP777/2024-2025/136696-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Sep-2025,906023.0,True,Images
WS/MP18152/2024-2025/137632-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/137634-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/137639-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/137638-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/137636-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
"WS/MP18278/2024-2025/137687-Construction of roads, link roads, pathways or any other road with or without drainage system",14-Nov-2024,800000.0,True,Images
"WS/MP18278/2024-2025/137689-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Nov-2024,999633.0,True,Images
"WS/MP18278/2024-2025/137679-Construction of roads, link roads, pathways or any other road with or without drainage system",28-Oct-2024,999941.0,True,Images
WS/MP18278/2024-2025/134670-Construction of boundary walls of existing public and community buildings,14-Nov-2024,598982.0,True,Images
"WS/MP18278/2024-2025/137680-Construction of roads, link roads, pathways or any other road with or without drainage system",19-Nov-2024,984661.0,True,Images
"WS/MP18278/2024-2025/134673-Construction of roads, link roads, pathways or any other road with or without drainage system",03-Dec-2024,499906.0,True,Images
WS/MP18278/2024-2025/134630-Construction of boundary walls of existing public and community buildings,31-Dec-2024,1000000.0,True,Images
WS/MP18152/2024-2025/141223-Street lights,07-Apr-2025,100000.0,False,nan
WS/MP18152/2024-2025/141195-Street lights,07-Apr-2025,200000.0,False,nan
WS/MP18152/2024-2025/141192-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141197-Street lights,07-Apr-2025,200000.0,False,nan
WS/MP18152/2024-2025/141224-Street lights,07-Apr-2025,200000.0,False,nan
WS/MP18152/2024-2025/141217-Street lights,07-Apr-2025,200000.0,False,nan
WS/MP18152/2024-2025/141213-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141204-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141199-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141202-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141201-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141200-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141208-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141209-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141210-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141211-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141207-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141206-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141205-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141215-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141212-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP18152/2024-2025/141214-Fitting of Sitting RCC Benches in Public Places,07-Apr-2025,150000.0,False,nan
WS/MP393/2024-2025/140635-Street lights,24-Sep-2024,500000.0,True,Images
"WS/MP18336/2024-2025/135505-Construction of roads, link roads, pathways or any other road with or without drainage system",29-May-2025,1000000.0,True,Images
"WS/MP18336/2024-2025/135506-Construction of roads, link roads, pathways or any other road with or without drainage system",29-May-2025,1000000.0,True,Images
WS/MP18153/2024-2025/137282-Installing community drinking water plants,30-Dec-2024,232297.0,False,nan
WS/MP18153/2024-2025/137281-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/137280-Installing community drinking water plants,30-Dec-2024,232062.0,False,nan
WS/MP18153/2024-2025/137279-Installing community drinking water plants,18-Mar-2025,232415.0,False,nan
WS/MP18153/2024-2025/137278-Installing community drinking water plants,30-Dec-2024,232650.0,False,nan
WS/MP18153/2024-2025/137286-Installing community drinking water plants,07-Jan-2025,232767.0,False,nan
