constituency_id,name,state,mp_id
C_BIHAR_MUNGER,MUNGER,Bihar,MP_FB51748D
C_BIHAR_SAMASTIPUR_SC,SAMASTIPUR(SC),Bihar,MP_492BAFE1
C_JHARKH_GODDA,GODDA,Jharkhand,MP_BAF5B4F6
C_JHARKH_HAZARIBAGH,HAZARIBAGH,Jharkhand,MP_53E84460
C_KARNAT_GULBARGA_SC,GULBARGA(SC),Karnataka,MP_BE1B26DB
C_BIHAR_SARAN,SARAN,Bihar,MP_69E08200
C_ODISHA_BERHAMPUR,BERHAMPUR,Odisha,MP_B576B91D
C_ANDHRA_NARASAPURAM,NARASAPURAM,Andhra Pradesh,MP_624C9117
C_MAHARA_KALYAN,KALYAN,Maharashtra,MP_2F9F33EA
C_RAJAST_TONK_SAWAI_MADHO,TONK-SAWAI MADHOPUR,Rajasthan,MP_EAF7E459
C_BIHAR_PATALIPUTRA,PATALIPUTRA,Bihar,MP_F09F0102
C_MAHARA_THANE,THANE,Maharashtra,MP_340E761F
C_BIHAR_PASCHIM_CHAMPARA,PASCHIM CHAMPARAN,Bihar,MP_9E9F696A
