parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
rajya_sabha,Tamil Nadu,Praveen Chakravarthy (2026-28) (2026-2028),1,0,0,0.0,0.0,,0.0,0.0
rajya_sabha,Tamil Nadu,R. Dharmar (2022-28) (2022-2028),42,33,8,48998746.0,0.0,1484810.4848484849,0.19,0.0
rajya_sabha,Tamil Nadu,R. Girirajan (2022-28) (2022-2028),35,25,8,37476458.0,0.0,1499058.32,0.229,0.0
rajya_sabha,Tamil Nadu,Rajathi (2025-31) (2025-2031),22,9,4,20625000.0,0.0,2291666.6666666665,0.182,0.0
rajya_sabha,Tamil Nadu,S. Kalyanasundaram (2022-28) (2022-2028),60,39,16,117580581.0,0.0,3014886.6923076925,0.267,0.0
rajya_sabha,Tamil Nadu,S.R. Sivalingam (2025-31) (2025-2031),17,7,5,18499509.0,0.0,2642787.0,0.294,0.0
rajya_sabha,Telangana,Anil Kumar Yadav Mandadi (2024-30) (2024-2030),67,42,10,27123698.0,0.0,645802.3333333334,0.149,0.0
rajya_sabha,Telangana,B. Parthasaradhi Reddy (2022-28) (2022-2028),18,4,2,33807525.0,0.0,8451881.25,0.111,0.0
rajya_sabha,Telangana,Damodar Rao Divakonda (2022-28) (2022-2028),209,163,18,122235542.0,0.0,749911.3006134969,0.086,0.0
rajya_sabha,Telangana,Ravi Chandra Vaddiraju (2024-30) (2024-2030),164,108,15,63097408.0,0.0,584235.2592592592,0.091,0.0
rajya_sabha,Telangana,Renuka Chowdhury (2024-30) (2024-2030),48,40,2,20745000.0,0.0,518625.0,0.042,0.0
rajya_sabha,Tripura,Rajib Bhattacharjee (2024-28) (2024-2028),61,33,12,50358673.0,0.0,1526020.393939394,0.197,0.0
rajya_sabha,Uttar Pradesh,Amar Pal Maurya (2024-30) (2024-2030),43,23,7,25801810.0,0.0,1121817.8260869565,0.163,0.0
rajya_sabha,Uttar Pradesh,Arun Singh (2020-26) (2020-2026),104,76,18,155361161.0,0.0,2044225.8026315789,0.173,0.0
