Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ )
17,Normal/Others,"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the Godhan Raju ahead of the house.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,08-Oct-24,500000
18,Normal/Others,"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Amit Sahu ahead of the house.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,06-Dec-24,1500000
19,Normal/Others,"WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities",Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Pralhad Venkatesh Joshi,DHARWAD,Images,09-Jun-25,498091
20,Normal/Others,"WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities",Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Pralhad Venkatesh Joshi,DHARWAD,Images,14-Oct-24,497185
21,Normal/Others,WS/MP672/2024-2025/136731-Lighting of public spaces,Maharashtra,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Nitin Jairam Gadkari,NAGPUR,Images,23-Aug-24,963514
22,Normal/Others,WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of common sitting area (Chaburta),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,12-Feb-25,300000
23,Normal/Others,"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- Ahead from the main road towards the canal.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,12-Feb-25,1000000
24,Normal/Others,"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- From the road towards the Colony,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,25-Nov-24,999550
25,Normal/Others,"WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Community Building to Patharri pond (Taalab).,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,27-Nov-24,998000
