sr_no,state,work_description,work_id,ida_agency,mp_name,constituency,expenditure_amount,vendor_name,work_status,expenditure_amount
21,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214776,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
22,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214774,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
23,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214772,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
24,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214778,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
25,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214780,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
26,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214753,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
27,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214761,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
28,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214771,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
29,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214768,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Zia Ur Rehman,SAMBHAL,36159.0,R G Supllier,Payment In-Progress,36159.0
30,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184472,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
31,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184544,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
32,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
33,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171412,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
34,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183819,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
35,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184028,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
36,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171499,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
37,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171497,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
38,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184243,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
39,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184254,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
40,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184255,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
41,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184305,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
42,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184282,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
43,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184280,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
44,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
45,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184266,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
46,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184279,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
47,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184239,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
48,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184234,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
49,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184031,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
50,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184088,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
51,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184034,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
52,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214321,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
53,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214202,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
54,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214253,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
55,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214320,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
56,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214004,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
57,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214008,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
58,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214115,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
