Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),source_house,source_file,quarantine_reason
108,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,,lok_sabha,allocation.csv,Missing required value in 'Allocated AMOUNT ( ₹ )'; 
Grand Total, , , ,"83,18,05,53,325.71",lok_sabha,allocation.csv,Missing required value in 'Hon'ble Members of Parliaments'; 
