state_id,state,parliament_type,tenure_id,tenure_caption,allocated_crore,expenditure_crore,works_recommended,works_sanctioned,works_completed,scraped_at
18,Karnataka,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:23.784719
36,Kerala,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:26.418146
130,Ladakh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:29.735069
19,Lakshadweep,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:33.719821
20,Madhya Pradesh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:35.370596
21,Maharashtra,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:37.484704
22,Manipur,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:39.699399
23,Meghalaya,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:41.628142
13,Mizoram,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:43.950266
24,Nagaland,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:46.744572
25,Odisha,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:49.940450
26,Puducherry,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:52.535394
1,Punjab,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:55.030164
28,Rajasthan,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:57.304893
29,Sikkim,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:59.541008
30,Tamil Nadu,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:01.723179
129,Telangana,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:03.791333
10,The Dadra And Nagar Haveli And Daman And Diu,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:05.780180
31,Tripura,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:07.700170
33,Uttar Pradesh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:10.266942
32,Uttarakhand,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:12.020375
34,West Bengal,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:14.483722
35,Andaman And Nicobar Islands,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:16.824282
2,Andhra Pradesh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:19.313367
3,Arunachal Pradesh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:21.622075
5,Assam,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:23.871102
6,Bihar,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:26.421784
7,Chandigarh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:28.928082
8,Chhattisgarh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:31.165098
11,Delhi,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:33.441942
12,Goa,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:35.663229
27,Gujarat,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:37.643854
14,Haryana,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:39.381545
15,Himachal Pradesh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:42.267227
16,Jammu And Kashmir,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:45.086160
17,Jharkhand,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:47.063218
18,Karnataka,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:48.860519
36,Kerala,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:50.358953
130,Ladakh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:52.083655
19,Lakshadweep,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:54.742892
20,Madhya Pradesh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:57.147967
21,Maharashtra,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:11:59.221513
22,Manipur,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:00.379683
23,Meghalaya,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:03.222812
13,Mizoram,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:05.955346
24,Nagaland,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:08.664102
25,Odisha,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:09.816836
26,Puducherry,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:12.353194
1,Punjab,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:13.242190
28,Rajasthan,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:14.515918
29,Sikkim,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:15.743755
