alias_id,ida_id,original_name,normalized_name,confidence_score,verified
IDA_ALIAS_000614,IDA_000614,CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA),chittorgarhdistrict collector chittorgarhida,1.0,True
IDA_ALIAS_000615,IDA_000615,MAYILADUTHURAI(DISTRICT COLLECTOR MAYILADUTHURAI_IDA),mayiladuthuraidistrict collector mayiladuthuraiida,1.0,True
IDA_ALIAS_000616,IDA_000616,CHAMARAJANAGAR(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA),chamarajanagardeputy commissioner chamarajnagarida,1.0,True
IDA_ALIAS_000617,IDA_000617,THOOTHUKKUDI(DISTRICT COLLECTOR THOOTHUKUDI_IDA),thoothukkudidistrict collector thoothukudiida,1.0,True
IDA_ALIAS_000618,IDA_000618,PHEK(DEPUTY COMMISSIONER PHEK_IDA),phekdeputy commissioner phekida,1.0,True
IDA_ALIAS_000619,IDA_000619,EAST KAMENG(DEPUTY COMMISIONER EAST KAMENG_IDA),east kamengdeputy commisioner east kamengida,1.0,True
IDA_ALIAS_000620,IDA_000620,GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA),gadchirolidistrict collector gadchiroliida,1.0,True
IDA_ALIAS_000621,IDA_000621,WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA),west jaintia hillsdeputy commissioner west jaintia hills jowaiida,1.0,True
IDA_ALIAS_000622,IDA_000622,WEST KARBI ANGLONG(DISTRICT COMMISSIONER WEST KARBI ANGLONG),west karbi anglongdistrict commissioner west karbi anglong,1.0,True
IDA_ALIAS_000623,IDA_000623,DAVANAGERE(DEPUTY COMMISSIONER DAUANAGERE_IDA),davanageredeputy commissioner dauanagereida,1.0,True
IDA_ALIAS_000624,IDA_000624,BANKA(DISTRICT PLANNING OFFICER BANKA_IDA),bankadistrict planning officer bankaida,1.0,True
IDA_ALIAS_000625,IDA_000625,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),belagavideputy commissioner belgaumida,1.0,True
IDA_ALIAS_000626,IDA_000626,SRI SATHYA SAI(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),sri sathya saidistrict collector sri sathya saiida,1.0,True
IDA_ALIAS_000627,IDA_000627,KAKINADA(DISTRICT COLLECTOR KAKINADA_IDA),kakinadadistrict collector kakinadaida,1.0,True
