canonical_work_id,iso_forest_raw_score,lof_raw_score,ml_anomaly_score,is_ml_anomaly,top_contributing_features
WORK_HASH_1000538570721174044,-0.1246,-0.4658,0.0,False,sanction_delay_days
WORK_HASH_10005405932226119083,-0.1466,-0.391,0.0,False,sanction_delay_days
WORK_HASH_10005407396618959171,-0.1978,-0.5071,0.0,False,inactivity_gap_days
WORK_HASH_10005442102491073119,-0.1958,-0.3319,0.0,False,inactivity_gap_days
WORK_HASH_10005495628778359214,-0.2206,-0.4397,0.0,False,multivariate_combination
WORK_HASH_10005575514455629886,0.0449,-0.4788,0.0,False,sanction_delay_days
WORK_HASH_10005741650716300044,-0.18,-0.4526,0.0,False,sanction_delay_days
WORK_HASH_10005888274110771360,-0.1991,-0.4123,0.0,False,inactivity_gap_days
WORK_HASH_10005926844963923248,0.1106,-0.4599,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10005964407653168632,-0.124,-0.4992,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006028646226846155,-0.149,-0.469,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006037440179187391,-0.1887,-0.5237,0.0,False,multivariate_combination
WORK_HASH_10006042535847169760,-0.0605,-0.3068,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1000604447481285242,-0.2207,-0.5225,0.0,False,multivariate_combination
WORK_HASH_10006132615530782055,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10006202438168550489,-0.0237,-0.4862,0.0,False,sanction_delay_days
WORK_HASH_10006272177290066676,-0.1861,-0.498,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006413131867761896,-0.1713,-0.5275,0.0,False,sanction_delay_days
WORK_HASH_10006438542262799475,-0.2099,-0.4788,0.0,False,multivariate_combination
WORK_HASH_10006558415502134111,-0.0679,-0.5119,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006623435537808280,-0.1466,-0.5155,0.0,False,sanction_delay_days
WORK_HASH_10006643597881109920,-0.0734,-0.4678,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006728973560529134,-0.2172,-0.4383,0.0,False,multivariate_combination
WORK_HASH_10006751546226151983,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10006842854152943501,-0.1457,-0.5114,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10006946556806933328,-0.1204,-0.4272,0.0,False,inactivity_gap_days
WORK_HASH_10007147502562993564,-0.2176,-0.5026,0.0,False,multivariate_combination
WORK_HASH_10007181964687855697,-0.1803,-0.4576,0.0,False,sanction_delay_days
WORK_HASH_1000746255107391037,-0.1781,-0.4013,0.0,False,sanction_delay_days
WORK_HASH_10007819031386107971,0.1187,0.2691,0.0,False,sanction_delay_days
WORK_HASH_10007963431809964905,-0.0354,-0.4632,0.0,False,sanction_delay_days
WORK_HASH_10007985164103014822,-0.1591,-0.5188,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10008079214946718008,-0.0913,-0.3523,0.0,False,sanction_delay_days
WORK_HASH_10008209867756630709,-0.2164,-0.5201,0.0,False,multivariate_combination
WORK_HASH_10008307391880234738,-0.1823,-0.4344,0.0,False,sanction_delay_days
WORK_HASH_10008348804301755216,-0.1763,-0.376,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10008439655985469725,-0.2189,-0.5232,0.0,False,multivariate_combination
WORK_HASH_10008500155280649907,-0.1932,0.1427,0.0,False,inactivity_gap_days
WORK_HASH_10008518094259600014,-0.1614,-0.475,0.0,False,sanction_delay_days
WORK_HASH_10008572815331563040,-0.1623,-0.4614,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10008641851608260751,-0.0569,-0.4837,0.0,False,sanction_delay_days
WORK_HASH_10008868806772454144,-0.1327,-0.3126,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10008880989742098598,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10009003616333603583,-0.1956,-0.5175,0.0,False,multivariate_combination
WORK_HASH_10009050505120852320,-0.1589,-0.4873,0.0,False,sanction_delay_days
WORK_HASH_10009250749638799401,-0.1722,-0.5121,0.0,False,sanction_delay_days
WORK_HASH_10009269315704502187,-0.2184,-0.4824,0.0,False,multivariate_combination
WORK_HASH_10009362438529358110,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10009365190747529809,-0.1703,-0.461,0.0,False,sanction_delay_days
WORK_HASH_10009633632587143947,-0.2175,-0.4916,0.0,False,multivariate_combination
WORK_HASH_10009642476681126067,-0.1027,-0.4763,0.0,False,sanction_delay_days
WORK_HASH_1000972233388577794,-0.1459,-0.44,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10009787998148777767,-0.2189,-0.5232,0.0,False,multivariate_combination
WORK_HASH_10009843014066689584,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_1001012154635821254,-0.1868,-0.4775,0.0,False,sanction_delay_days
WORK_HASH_10010243445706964726,-0.1622,-0.4262,0.0,False,inactivity_gap_days
WORK_HASH_10010568524043507401,-0.2133,-0.4862,0.0,False,inactivity_gap_days
WORK_HASH_100107043060061872,0.1049,-0.3739,0.0,False,sanction_delay_days
WORK_HASH_10010796344684331544,-0.214,-0.3585,0.0,False,inactivity_gap_days
WORK_HASH_10010801005137343829,-0.2212,-0.3546,0.0,False,multivariate_combination
WORK_HASH_10010904738191434200,-0.1795,-0.4983,0.0,False,sanction_delay_days
WORK_HASH_10010958025440121909,-0.0946,-0.4803,0.0,False,sanction_delay_days
WORK_HASH_10010971921323923842,-0.1939,-0.4383,0.0,False,inactivity_gap_days
WORK_HASH_10011069497015680213,-0.2189,-0.5124,0.0,False,multivariate_combination
