dataset_name,duplicate_rows_count,duplicate_rows_pct
allocated limit for honble mps (4),0,0.0
amount consented for calamity (3),0,0.0
expenditure on completed and on-going works as on date (2),0,0.0
works completed (8),0,0.0
works recommended (2),0,0.0
works sanctioned (7),0,0.0
