vendor_name,work_count,completed_work_count,total_expenditure,avg_work_amount,unique_mps,unique_states,unique_constituencies,completion_rate
Gill Trading Company,1,1,150000.0,150000.0,1,1,1,1.0
The Sidhu Kirat Te Usari Sehkari Sabha Ltd,1,1,1443979.0,1443979.0,1,1,1,1.0
