parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
lok_sabha,Telangana,Aruna. D. K,43,38,18,19725433.0,0.0,519090.34210526315,0.419,0.0
lok_sabha,Telangana,Arvind Dharmapuri,179,123,115,45148786.0,0.0,367063.30081300816,0.642,0.0
lok_sabha,Telangana,Asaduddin Owaisi,14,8,1,19285072.0,0.0,2410634.0,0.071,0.0
lok_sabha,Telangana,Balram Naik Porika,132,112,99,33781899.0,0.0,301624.09821428574,0.75,0.0
lok_sabha,Telangana,Chamala Kiran Kumar Reddy,111,89,54,29260077.0,0.0,328764.91011235956,0.486,0.0
lok_sabha,Telangana,Eatala Rajender,109,67,20,61832233.0,0.0,922869.1492537314,0.183,0.0
lok_sabha,Telangana,Godam Nagesh,220,99,29,28730000.0,0.0,290202.0202020202,0.132,0.0
lok_sabha,Telangana,Kadiyam Kavya,100,70,41,28954452.0,0.0,413635.02857142856,0.41,0.0
lok_sabha,Telangana,Kishan Reddy Gangapuram,20,12,0,27620000.0,0.0,2301666.6666666665,0.0,0.0
lok_sabha,Telangana,Konda Vishweshwar Reddy,295,284,144,95211618.0,0.0,335252.176056338,0.488,0.0
lok_sabha,Telangana,Kunduru Raghuveer,26,24,6,19168401.0,0.0,798683.375,0.231,0.0
lok_sabha,Telangana,Madhavaneni Raghunandan Rao,123,51,34,36197616.0,0.0,709757.1764705882,0.276,0.0
lok_sabha,Telangana,Mallu Ravi,104,85,61,49201642.0,0.0,578842.8470588236,0.587,0.0
lok_sabha,Telangana,Ramasahayam Raghuram Reddy,125,120,19,38449146.0,0.0,320409.55,0.152,0.0
lok_sabha,Telangana,Sanjay Kumar Bandi,195,108,44,35542182.0,0.0,329094.27777777775,0.226,0.0
lok_sabha,Telangana,Suresh Kumar Shetkar,196,93,32,26694939.0,0.0,287042.3548387097,0.163,0.0
lok_sabha,Telangana,Vamsi Krishna Gaddam,58,34,9,25209997.0,0.0,741470.5,0.155,0.0
lok_sabha,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,1,0,0,0.0,0.0,,0.0,0.0
lok_sabha,The Dadra And Nagar Haveli And Daman And Diu,Patel Umeshbhai Babubhai,54,1,0,1000000.0,0.0,1000000.0,0.0,0.0
lok_sabha,Tripura,Biplab Kumar Deb,30,19,7,81343545.0,0.0,4281239.2105263155,0.233,0.0
lok_sabha,Tripura,Kriti Devi Debbarman,14,10,3,23979250.0,0.0,2397925.0,0.214,0.0
lok_sabha,Uttar Pradesh,Aditya Yadav,133,99,41,96732339.0,0.0,977094.3333333334,0.308,0.0
lok_sabha,Uttar Pradesh,Afzal Ansari,91,64,9,42196125.0,0.0,659314.453125,0.099,0.0
lok_sabha,Uttar Pradesh,Ajendra Singh Lodhi,200,106,18,78438000.0,0.0,739981.1320754717,0.09,0.0
lok_sabha,Uttar Pradesh,Akhilesh Yadav,157,87,27,79434648.0,0.0,913041.9310344828,0.172,0.0
lok_sabha,Uttar Pradesh,Akshaya Yadav,43,42,37,96154158.0,0.0,2289384.714285714,0.86,0.0
