parliament,state,constituency,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,completion_rate,utilization_rate
lok_sabha,West Bengal,ASANSOL,25,21,5,71037025.0,0.0,0.2,0.0
lok_sabha,West Bengal,BAHARAMPUR,43,33,2,39363677.0,0.0,0.047,0.0
lok_sabha,West Bengal,BALURGHAT,124,117,22,63599877.9,0.0,0.177,0.0
lok_sabha,West Bengal,BANGAON(SC),22,3,3,2056249.0,0.0,0.136,0.0
lok_sabha,West Bengal,BANKURA,50,50,27,83496667.0,0.0,0.54,0.0
lok_sabha,West Bengal,BARASAT,93,53,33,60172753.0,0.0,0.355,0.0
lok_sabha,West Bengal,BARDHAMAN PURBA(SC),110,54,17,45895695.0,0.0,0.155,0.0
lok_sabha,West Bengal,BARDHAMAN-DURGAPUR,68,55,6,65043112.0,0.0,0.088,0.0
lok_sabha,West Bengal,BARRACKPUR,29,10,4,57015000.0,0.0,0.138,0.0
lok_sabha,West Bengal,BASIRHAT,26,13,7,24693148.0,0.0,0.269,0.0
lok_sabha,West Bengal,BIRBHUM,79,71,48,63579304.0,0.0,0.608,0.0
lok_sabha,West Bengal,BISHNUPUR(SC),46,42,14,50205584.0,0.0,0.304,0.0
lok_sabha,West Bengal,BOLPUR(SC),172,146,105,193767254.0,0.0,0.61,0.0
lok_sabha,West Bengal,COOCHBEHAR(SC),63,40,1,36933495.0,0.0,0.016,0.0
lok_sabha,West Bengal,DARJEELING,171,113,42,62207467.0,0.0,0.246,0.0
lok_sabha,West Bengal,DIAMOND HARBOUR,168,147,94,47986591.0,0.0,0.56,0.0
lok_sabha,West Bengal,DUM DUM,49,20,10,22535682.0,0.0,0.204,0.0
lok_sabha,West Bengal,GHATAL,26,16,14,33956704.0,0.0,0.538,0.0
lok_sabha,West Bengal,HOOGHLY,39,27,10,49733134.0,0.0,0.256,0.0
lok_sabha,West Bengal,HOWRAH,48,47,25,48090168.0,0.0,0.521,0.0
lok_sabha,West Bengal,JADAVPUR,68,65,32,37577280.0,0.0,0.471,0.0
lok_sabha,West Bengal,JALPAIGURI(SC),15,14,1,22204482.0,0.0,0.067,0.0
lok_sabha,West Bengal,JANGIPUR,41,29,11,38411791.0,0.0,0.268,0.0
lok_sabha,West Bengal,JHARGRAM(ST),39,29,25,58546605.0,0.0,0.641,0.0
lok_sabha,West Bengal,JOYNAGAR(SC),143,130,70,63576927.0,0.0,0.49,0.0
lok_sabha,West Bengal,KANTHI,21,19,13,28885084.0,0.0,0.619,0.0
lok_sabha,West Bengal,KOLKATA DAKSHIN,51,50,18,74370386.0,0.0,0.353,0.0
lok_sabha,West Bengal,KOLKATA UTTAR,33,31,9,62627830.0,0.0,0.273,0.0
lok_sabha,West Bengal,KRISHNANAGAR,52,44,20,96526606.0,0.0,0.385,0.0
lok_sabha,West Bengal,MALDAHA DAKSHIN,61,55,12,33026511.0,0.0,0.197,0.0
lok_sabha,West Bengal,MALDAHA UTTAR,31,11,6,10982755.0,0.0,0.194,0.0
lok_sabha,West Bengal,MATHURAPUR(SC),105,85,57,36503383.0,0.0,0.543,0.0
lok_sabha,West Bengal,MEDINIPUR,22,18,6,63783694.0,0.0,0.273,0.0
lok_sabha,West Bengal,MURSHIDABAD,72,65,23,46378883.0,0.0,0.319,0.0
lok_sabha,West Bengal,PURULIA,38,17,5,10218085.0,0.0,0.132,0.0
lok_sabha,West Bengal,RAIGANJ,29,24,5,26078137.0,0.0,0.172,0.0
lok_sabha,West Bengal,RANAGHAT(SC),160,115,56,57417589.0,0.0,0.35,0.0
lok_sabha,West Bengal,SREERAMPUR,76,74,46,67797647.0,0.0,0.605,0.0
lok_sabha,West Bengal,TAMLUK,56,41,13,15331987.0,0.0,0.232,0.0
lok_sabha,West Bengal,ULUBERIA,112,88,61,55947695.0,0.0,0.545,0.0
lok_sabha,nan,nan,1,1,1,0.0,0.0,1.0,0.0
