source_dataset,target_dataset,candidate_pairs_evaluated,high_confidence_matches,records_in_review,unresolved_records
completed,expenditure,13771,23,108,1482
completed,recommended,18854,1190,3370,1041
completed,sanctioned,19157,1195,6790,1041
expenditure,recommended,5511,7,357,1493
expenditure,sanctioned,5504,7,714,1493
recommended,sanctioned,63178,5444,244,20
