source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
expenditure,1082,recommended,1023,Installing community drinking water plants,Installation of RO System At Govt. High School Sodhi Nagar (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232650.0,232062.0,78.08,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,848,recommended,1029,Installing community drinking water plants,Installation of RO System At Govt. Middal School Sulhani (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232626.0,232767.0,77.11,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,762,recommended,1029,Installing community drinking water plants,Installation of RO System At Govt. Middal School Sulhani (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232838.0,232767.0,77.12,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,933,recommended,350,Construction of additional rooms and halls in the existing public and community building,"CONSTRUCTION OF C C ROAD FROM PMGSY ROAD TO ANU DAS HOUSE AT BHALUGRAM GP ,EXCUTING AGENCY WILL BE MONGALKOTE PANCHYET SAMITY",Asit Kumar Mal,Asit Kumar Mal,BOLPUR(SC),BOLPUR(SC),West Bengal,West Bengal,1100000.0,356247.0,73.15,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,551,recommended,715,Construction of public staircase/ stair ghat for public convenience,construction of mask light in chalmo chowk of berha suiyadih village of berha suiyadih panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,349924.0,150000.0,72.94,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,294,recommended,820,Construction of community centers and community halls,Construction of community center at village Takhatgarh,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,40000.0,700000.0,80.5,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,768,recommended,5,Construction of buildings for community cultural activities,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,498497.0,399104.0,77.24,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1224,recommended,892,Lighting of public spaces,PCC Construction of the Road.,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,998018.0,79.67,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,174,recommended,903,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC road from Pappu Singh House to Manoj House In Nagla Taj Etmadpur,Sp Singh Baghel,Sp Singh Baghel,AGRA(SC),AGRA(SC),Uttar Pradesh,Uttar Pradesh,556999.0,513114.0,78.98,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,889,recommended,1130,Construction of boundary walls of existing public and community buildings,Construction of Open Stage at Gangjang,Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,77000.0,1500000.0,72.4,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,735,recommended,4,Construction of buildings for community cultural activities,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,495246.0,398009.0,80.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1341,recommended,210,Construction of bus-sheds or bus-stops,Construction of culverts and bridges- Between Singhra and Chhote Kot,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,600000.0,998871.0,73.51,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1289,recommended,704,Construction of community centers and community halls,"CONSTRUCTION COMMUNITY HALL AT WARD NO 9 WALMIKI NAGAR , DARYAPUR , DIST AMRAVATI",Balwant Baswant Wankhade,Balwant Baswant Wankhade,AMRAVATI(SC),AMRAVATI(SC),Maharashtra,Maharashtra,970281.0,1500000.0,77.85,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,718,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light in dumri chowk of dumri panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,150000.0,74.22,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,748,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light near bishu mandir of jamtara village of jamtara panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,149710.0,73.15,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,847,recommended,1026,Installing community drinking water plants,Installation of RO System At Govt. Primary School Bhure Kalan (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232603.0,232497.0,78.32,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1271,recommended,1141,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of ringwell near the house of Sri Dosarath Tisso, Rongnihang",Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,96869.0,400000.0,72.76,MEDIUM,fuzzy_multi_field,pending,requires_human_review
