work_id,recommendation_date,recommended_amount,raw_additional_status
WS/MP007/2023-2024/45801-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45802-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45803-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45804-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45805-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45806-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45807-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP007/2023-2024/45808-Installing tube-wells and borewells,05-Nov-2023,460800.0,21-Dec-2023
WS/MP078/2023-2024/45809-Lighting of public spaces,05-Nov-2023,300000.0,29-Jan-2024
WS/MP078/2023-2024/45810-Installing hand pumps,05-Nov-2023,300000.0,29-Jan-2024
WS/MP140/2023-2024/45849-Installation of multi-gym equipment,05-Nov-2023,200000.0,19-Feb-2024
WS/MP140/2023-2024/45850-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Feb-2024
WS/MP140/2023-2024/45851-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Feb-2024
WS/MP140/2023-2024/45857-Installation of multi-gym equipment,05-Nov-2023,200000.0,03-Jan-2024
WS/MP140/2023-2024/45867-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Jan-2024
WS/MP140/2023-2024/45868-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Jan-2024
WS/MP140/2023-2024/45869-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Jan-2024
WS/MP140/2023-2024/45870-Installation of multi-gym equipment,05-Nov-2023,200000.0,09-Jan-2024
WS/MP140/2023-2024/45871-Installation of multi-gym equipment,05-Nov-2023,170620.0,09-Jan-2024
WS/MP140/2023-2024/45872-Purchase of mobile water tankers,05-Nov-2023,336300.0,03-Jan-2024
WS/MP078/2023-2024/45886-Development of playground,05-Nov-2023,200000.0,10-Jan-2024
WS/MP078/2023-2024/45887-Construction of additional rooms and halls in the existing public and community building,05-Nov-2023,100000.0,10-Jan-2024
WS/MP139/2023-2024/46074-Installing community drinking water plants,06-Nov-2023,200000.0,18-Dec-2023
WS/MP139/2023-2024/46075-Establishing public ground water recharging facilities,06-Nov-2023,2655484.0,07-Nov-2023
WS/MP019/2023-2024/46779-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/46780-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/46809-Construction of additional rooms and halls in the existing public and community building,07-Nov-2023,5000000.0,23-Feb-2024
WS/MP019/2023-2024/46810-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
WS/MP139/2023-2024/46813-Improvement of electricity distribution infrastructure,07-Nov-2023,5000000.0,17-Feb-2024
WS/MP019/2023-2024/46973-Installing community drinking water plants,07-Nov-2023,492189.6,23-Feb-2024
WS/MP019/2023-2024/46974-Construction of culverts and bridges,07-Nov-2023,1500000.0,23-Feb-2024
WS/MP019/2023-2024/46975-Construction of platforms and passenger sheds at railway stations,07-Nov-2023,800000.0,23-Feb-2024
WS/MP019/2023-2024/46976-Lighting of public spaces,07-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/46977-Lighting of public spaces,07-Nov-2023,119000.78,23-Feb-2024
WS/MP019/2023-2024/46978-Lighting of public spaces,07-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/46979-Lighting of public spaces,07-Nov-2023,700000.0,26-Feb-2024
WS/MP019/2023-2024/46980-Lighting of public spaces,07-Nov-2023,700000.0,26-Feb-2024
WS/MP019/2023-2024/46981-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/46982-Lighting of public spaces,07-Nov-2023,700000.0,26-Feb-2024
WS/MP019/2023-2024/47030-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/47031-Lighting of public spaces,07-Nov-2023,700000.0,23-Feb-2024
"WS/MP019/2023-2024/47032-Construction of roads, link roads, pathways or any other road with or without drainage system",07-Nov-2023,1000000.0,23-Feb-2024
WS/MP019/2023-2024/47033-Lighting of public spaces,07-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47034-Lighting of public spaces,07-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47035-Lighting of public spaces,07-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47036-Lighting of public spaces,07-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47384-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47385-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47386-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47387-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP196/2023-2024/47399-Purchase of books and periodicals for libraries/digitization of library books,08-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47402-Purchase of books and periodicals for libraries/digitization of library books,08-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47404-Purchase of books and periodicals for libraries/digitization of library books,08-Nov-2023,25000.0,12-Feb-2024
WS/MP019/2023-2024/47470-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47471-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47510-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47511-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47512-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47513-Lighting of public spaces,08-Nov-2023,119000.88,23-Feb-2024
