ida_id,canonical_name,normalized_name,agency_type,created_at
IDA_000358,SAKTI(COLLECTOR SAKTI_IDA),sakticollector saktiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256915
IDA_000359,BURHANPUR(DISTRICT COLLECTOR BURHANPUR_IDA),burhanpurdistrict collector burhanpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256921
IDA_000360,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),jalaundistrict magistrate jalaunida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256927
IDA_000361,ARWAL(DISTRICT PLANNING OFFICER ARWAL_IDA),arwaldistrict planning officer arwalida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256933
IDA_000362,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),chikkamagalurudeputy commissioner chikmagalur,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256939
IDA_000363,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),idukkidistrict collector idukkiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256945
IDA_000364,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),tehri garhwaldistrict magistrate tehri garhwalida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256951
IDA_000365,HOJAI(DC OFFICE HOJAI),hojaidc office hojai,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256957
IDA_000366,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),bhadohidistrict magistrate bhadohiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256962
IDA_000367,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),chennaicommissioner muncipal corporation chennaiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256971
IDA_000368,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),purbi champarandistrict planning officer mothihari east champaranida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256983
IDA_000369,UDHAMPUR(DEPUTY COMMISSIONER UDHAMPUR_IDA),udhampurdeputy commissioner udhampurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.256993
IDA_000370,GAJAPATI(DISTRICT COLLECTOR GAJAPATI_IDA),gajapatidistrict collector gajapatiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257005
IDA_000371,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),tenkasidistrict collector tenkasiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257015
IDA_000372,AKOLA(DISTRICT COLLECTOR AKOLA_IDA),akoladistrict collector akolaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257026
IDA_000373,MALKANGIRI(DISTRICT COLLECTOR MALKANGIRI_IDA),malkangiridistrict collector malkangiriida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257041
IDA_000374,UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA),unnaodistrict magiistrate unnaoida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257053
IDA_000375,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),haverideputy commissioner haveriida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257060
IDA_000376,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),ambaladeputy commissioner ambalaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257068
IDA_000377,NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA),narmadapuramdistrict collector narmadapuramida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257076
IDA_000378,TAPI(DISTRICT COLLECTOR TAPI_IDA),tapidistrict collector tapiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257084
IDA_000379,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),moradabaddistrict magistrate moradabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257096
IDA_000380,MAHISAGAR(COLLECTOR MAHISAGAR_IDA),mahisagarcollector mahisagarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257110
IDA_000381,LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA),lohardagadeputy commissioner lohardagaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257121
IDA_000382,SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA),sultanpurdistrict magistrate sultanpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257132
IDA_000383,UTTAR BASTAR KANKER(DISTRICT COLLECTOR KANKER_IDA),uttar bastar kankerdistrict collector kankerida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257144
IDA_000384,SANT KABIR NAGAR(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),sant kabir nagardistrict magistrate sant kabir nagar2,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257153
IDA_000385,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),azamgarhdistrict magistrate azamgarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257166
IDA_000386,UPPER SUBANSIRI(DEPUTY COMMISIONER UPPER SUBANSIRI_IDA),upper subansirideputy commisioner upper subansiriida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257175
IDA_000387,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),pudukkottaidistrict collector pudukkottaiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257184
IDA_000388,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),alappuzhadistrict collector alappuzhaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257196
IDA_000389,DIDWANA-KUCHAMAN(DISTRICT COLLECTOR DIDWANA KUCHAMAN_IDA),didwanakuchamandistrict collector didwana kuchamanida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257208
IDA_000390,GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA),gwaliordistrict collector gwaliorida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257219
IDA_000391,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),dewasdistrict collector dewasida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257227
IDA_000392,GONDA(DISTRICT MAGISTRATE GONDA_IDA),gondadistrict magistrate gondaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257241
IDA_000393,LATUR(DISTRICT COLLECTOR LATUR_IDA),laturdistrict collector laturida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257252
IDA_000394,HARDA(DISTRICT COLLECTOR HARDA_IDA),hardadistrict collector hardaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257261
IDA_000395,GARIYABAND(COLLECTRO GARIABAND_IDA),gariyabandcollectro gariabandida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257267
IDA_000396,PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA),palghardistrict collector palgharida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257272
IDA_000397,JHAJJAR(DEPUTY COMMISSIONER CUM NODAL OFFICER MPLADS JHAJJAR),jhajjardeputy commissioner cum nodal officer mplads jhajjar,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257278
IDA_000398,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),sheikhpuradistrict planning officer sheikhpuraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257284
IDA_000399,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),prayagrajdistrict magistrae allahabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257289
IDA_000400,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),adilabaddistrict collector adilabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257294
IDA_000401,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ghaziabaddistrict magistrae ghaziabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257299
IDA_000402,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),kolkatacommissioner kolkata municipal corporationida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257308
IDA_000403,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),rajanna sircilladistrict collector rajanna sircillaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257314
IDA_000404,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),thiruvananthapuramdistrict collector thiruvananthapuramida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257319
IDA_000405,DUMKA(DEPUTY COMMISSIONER DUMKA_IDA),dumkadeputy commissioner dumkaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257325
IDA_000406,SANGAREDDY(DISTRICT COLLECTOR SANGAREDDY_IDA),sangareddydistrict collector sangareddyida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257331
IDA_000407,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),jalandhardeputy commissioner jalandharida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257337
IDA_000408,RAISEN(DISTRICT COLLECTOR RAISEN_IDA),raisendistrict collector raisenida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257342
IDA_000409,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),jhansidistrict magistrae jhansiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257348
IDA_000410,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),chandaulidistrict magistrate chandauliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257354
IDA_000411,KANDHAMALA(DISTRICT COLLECTOR KANDHAMAL_IDA),kandhamaladistrict collector kandhamalida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257361
IDA_000412,KALLAKURICHI(DISTRICT COLLECTOR KALLAKURICHI_IDA),kallakurichidistrict collector kallakurichiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257366
IDA_000413,RAMBAN(DEPUTY COMMISSIONER RAMBAN_IDA),rambandeputy commissioner rambanida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257372
IDA_000414,KODAGU(DEPUTY COMMSIONER KODAGU_IDA),kodagudeputy commsioner kodaguida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257378
IDA_000415,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),siwandistrict planning officer siwanida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257385
IDA_000416,CHURU(DISTRICT COLLECTOR CHURU_IDA),churudistrict collector churuida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257390
IDA_000417,DAKSHIN BASTAR DANTEWADA(COLLECTOR DANTEWADA_IDA),dakshin bastar dantewadacollector dantewadaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257396
IDA_000418,TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA),tirunelvelidistrict collector tirunelveliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257401
IDA_000419,NORTH EAST(COMMISSIONER MCD NORTH EAST),north eastcommissioner mcd north east,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257407
IDA_000420,TIRUPATI(DISTRICT COLLECTOR TIRUPATI_IDA),tirupatidistrict collector tirupatiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257412
IDA_000421,KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA),kannaujdistrict magistrate kannaujida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257417
IDA_000422,JANGOAN(DISTRICT COLLECTOR JANGAON_IDA),jangoandistrict collector jangaonida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257421
IDA_000423,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),kolardeputy commissioner kolarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257427
IDA_000424,MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA),mirzapurdistrict magistrate mirzapurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257433
IDA_000425,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),arariadistrict planning officer arariaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257438
IDA_000426,SIVASAGAR(DEPUTY COMMISSIONER SIVSAGAR_IDA),sivasagardeputy commissioner sivsagarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257444
