sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,electednominated,image,completion_date,expenditure_amount
24,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
25,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
26,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
27,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
28,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
29,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
30,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
31,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
32,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
33,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
34,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
35,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
36,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
37,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
38,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
39,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
40,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
41,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
42,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
43,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
44,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
