sr_no,state,work_description,work_id,ida_agency,mp_name,electednominated,expenditure_amount,vendor_name,work_status,expenditure_amount
23,Uttar Pradesh,Purchase of non-conventional energy system and devices for community use,WS/MP202/2026-2027/270304,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Seema Dwivedi (2020-26) (2020-2026),Elected MP,98000.0,Hansh Enterprises,Payment In-Progress,98000.0
24,Uttar Pradesh,Purchase of non-conventional energy system and devices for community use,WS/MP202/2025-2026/250664,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Seema Dwivedi (2020-26) (2020-2026),Elected MP,98000.0,Hansh Enterprises,Payment In-Progress,98000.0
25,Uttar Pradesh,Street lights,WS/MP202/2026-2027/270319,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Seema Dwivedi (2020-26) (2020-2026),Elected MP,19600.0,Hansh Enterprises,Payment In-Progress,19600.0
26,Uttar Pradesh,Street lights,WS/MP202/2026-2027/270317,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Seema Dwivedi (2020-26) (2020-2026),Elected MP,19600.0,Hansh Enterprises,Payment In-Progress,19600.0
27,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229610,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
28,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229611,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
29,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP224/2026-2027/284717,MUNGELI(Collector Mungeli_IDA),Phulo Devi Netam (2026-32) (2026-2032),Elected MP,400000.0,Gram Panchyat Balaudi Sgvy,Payment In-Progress,400000.0
30,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP041/2026-2027/261239,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Faiyaz Ahmad (2022-28) (2022-2028),Elected MP,1394446.0,Assistant Engineer Bisfi Vidhan Sabha,Payment In-Progress,1394446.0
31,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP041/2026-2027/261242,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Faiyaz Ahmad (2022-28) (2022-2028),Elected MP,1172310.0,Assistant Engineer Bisfi Vidhan Sabha,Payment In-Progress,1172310.0
32,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18297/2025-2026/263024,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Balyogi Umeshnath (2024-30) (2024-2030),Elected MP,600000.0,Gp Devikheda,Payment In-Progress,600000.0
33,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP104/2026-2027/273231,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),L. Murugan (2024-30) (2024-2030),Elected MP,960000.0,Gp Lasudiyabechar,Payment In-Progress,960000.0
34,Uttar Pradesh,Lighting of public spaces,WS/MP847/2024-2025/151101,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),Baburam Nishad (2022-28) (2022-2028),Elected MP,42433.0,Shyam Swaroop Manufacturere,Payment In-Progress,42433.0
35,Uttar Pradesh,Lighting of public spaces,WS/MP847/2024-2025/151102,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),Baburam Nishad (2022-28) (2022-2028),Elected MP,42433.0,Shyam Swaroop Manufacturere,Payment In-Progress,42433.0
36,Uttar Pradesh,Lighting of public spaces,WS/MP847/2024-2025/151100,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),Baburam Nishad (2022-28) (2022-2028),Elected MP,42433.0,Shyam Swaroop Manufacturere,Payment In-Progress,42433.0
37,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP140/2024-2025/164182,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Sant Balbir Singh (2022-28) (2022-2028),Elected MP,10500.0,Gupta Brothers,Payment In-Progress,10500.0
38,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP140/2024-2025/164182,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Sant Balbir Singh (2022-28) (2022-2028),Elected MP,114000.0,Gupta Brothers,Payment In-Progress,114000.0
39,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP140/2024-2025/164182,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Sant Balbir Singh (2022-28) (2022-2028),Elected MP,32000.0,Gupta Brothers,Payment In-Progress,32000.0
40,Madhya Pradesh,Construction of culverts and bridges,WS/MP106/2026-2027/230393,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,150000.0,Gram Panchayat Bagaspur,Payment In-Progress,150000.0
41,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229612,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
42,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229587,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
43,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229589,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
44,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP180/2025-2026/229591,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),K. Laxman (2022-28) (2022-2028),Elected MP,948129.0,Vinayak Enterprises,Payment In-Progress,948129.0
45,Uttar Pradesh,Purchase of non-conventional energy system and devices for community use,WS/MP202/2023-2024/16913,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Seema Dwivedi (2020-26) (2020-2026),Elected MP,125500.0,Sunny Enterprises,Payment In-Progress,125500.0
46,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP850/2026-2027/276621,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Naresh Bansal (2020-26) (2020-2026),Elected MP,914966.0,Manju Choudhary,Payment In-Progress,914966.0
47,Uttarakhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP850/2026-2027/275765,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Naresh Bansal (2020-26) (2020-2026),Elected MP,471581.0,Manju Choudhary,Payment In-Progress,471581.0
48,Bihar,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18332/2025-2026/217319,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),Dharmshila Gupta (2024-30) (2024-2030),Elected MP,648902.0,Assistant Engineer Bahadurpur,Payment In-Progress,648902.0
49,Madhya Pradesh,Construction of shelters for animals,WS/MP106/2025-2026/219723,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,125000.0,Gram Panchayat Jhot,Payment In-Progress,125000.0
50,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP186/2025-2026/219128,MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA),Arun Singh (2020-26) (2020-2026),Elected MP,58512.0,Bdo Pahadi,Payment In-Progress,58512.0
51,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,35648.0,Suman Singh Son Of Kulwant Singh,Payment In-Progress,35648.0
52,Chhattisgarh,Lighting of public spaces,WS/MP176/2026-2027/278427,RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA),Rajeev Shukla (2022-28) (2022-2028),Elected MP,250000.0,Gram Panchayat Nilja,Payment In-Progress,250000.0
53,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,35800.0,Chugh Engg Works,Payment In-Progress,35800.0
54,Uttar Pradesh,Construction of stadiums,WS/MP188/2026-2027/179557,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Jayant Chaudhary (2022-28) (2022-2028),Elected MP,2710610.0,Vaid Associates,Payment In-Progress,2710610.0
55,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18288/2025-2026/211228,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,500000.0,Gram Panchayat Kevadia 54,Payment In-Progress,500000.0
56,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18288/2025-2026/237305,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,200000.0,Gram Panchayat Kevadia 54,Payment In-Progress,200000.0
57,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18284/2026-2027/278006,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Ashok Singh (2024-30) (2024-2030),Elected MP,118368.0,Ajay Kumar,Payment In-Progress,118368.0
58,Uttarakhand,Construction of community centers and community halls,WS/MP204/2025-2026/242858,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Kalpana Saini (2022-28) (2022-2028),Elected MP,496946.0,Riyanshi Contractor,Payment In-Progress,496946.0
59,Uttarakhand,Construction of water tanks,WS/MP18333/2025-2026/186613,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Mahendra Bhatt (2024-30) (2024-2030),Elected MP,977393.0,Riyanshi Contractor,Payment In-Progress,977393.0
60,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP182/2025-2026/266258,GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA),Radha Mohan Das Agrawal (2022-28) (2022-2028),Elected MP,3293539.0,Jitendra Kumar Yadav,Payment In-Progress,3293539.0
61,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP181/2026-2027/207135,UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA),Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,5307017.0,Dhirendra Singh,Payment In-Progress,5307017.0
62,Gujarat,Providing garbage collection and disposal systems,WS/MP18403/2026-2027/270294,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,750000.0,Shivay Enterprise,Payment In-Progress,750000.0
63,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP181/2026-2027/194228,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,1123500.0,Harshprem Enterprises Pvt Ltd,Payment In-Progress,1123500.0
64,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,49760.0,Rs Engg Works,Payment In-Progress,49760.0
65,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,37818.0,Rs Engg Works,Payment In-Progress,37818.0
66,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,30121.0,Rs Engg Works,Payment In-Progress,30121.0
67,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP235/2026-2027/301952,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,29401.0,Rs Engg Works,Payment In-Progress,29401.0
68,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP146/2025-2026/258557,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),Mukul Wasnik (2022-28) (2022-2028),Elected MP,173248.0,Vijay And Company,Payment In-Progress,173248.0
69,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP189/2026-2027/224034,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Kapil Sibal (2022-28) (2022-2028),Elected MP,111973.0,J R Group,Payment In-Progress,111973.0
