sr_no,work_category,work_description,state,ida_agency,mp_name,electednominated,work_description,recommended_date,recommended_amount,sanction_date
1,Normal/Others,Construction of Class room Sompal Singh Memorial Public School,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room Sompal Singh Memorial Public School,2023-06-14,1000000.0,2023-11-07
2,Normal/Others,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,2023-06-14,1000000.0,2023-12-08
3,Normal/Others,Construction of Classroom and hall Galaxy Public School lakhna,Uttar Pradesh,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Classroom and hall Galaxy Public School lakhna,2023-06-14,1000000.0,2024-03-15
4,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484933.0,2023-08-12
5,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1486089.0,2023-08-12
6,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484550.0,2023-08-12
7,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484940.0,2023-08-12
8,Normal/Others,LED Semi HighMast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi HighMast Light,2023-06-19,243000.0,2023-08-24
9,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24
10,Normal/Others,LED SEMI High Mast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED SEMI High Mast Light,2023-06-19,243000.0,2023-08-24
